日期,收盘,开盘,高,低,交易量,涨跌幅
6/30/23,1.59,1.56,1.66,1.56,142.89M,1.27%
6/29/23,1.57,1.65,1.67,1.57,133.53M,-4.85%
6/28/23,1.65,1.66,1.68,1.61,95.10M,-0.60%
6/27/23,1.66,1.55,1.67,1.55,169.56M,7.10%
6/26/23,1.55,1.59,1.65,1.53,109.67M,-2.52%
6/23/23,1.59,1.62,1.62,1.56,55.29M,-1.85%
6/21/23,1.62,1.63,1.68,1.6,130.82M,-1.82%
6/20/23,1.65,1.76,1.76,1.63,224.69M,-6.78%
6/19/23,1.77,1.87,1.87,1.74,197.37M,-5.35%
6/16/23,1.87,1.89,1.9,1.8,201.08M,0.00%
6/15/23,1.87,1.78,1.88,1.78,227.48M,6.25%
6/14/23,1.76,1.78,1.83,1.73,151.93M,0.00%
6/13/23,1.76,1.68,1.77,1.68,251.99M,4.76%
6/12/23,1.68,1.69,1.71,1.63,110.39M,-1.18%
6/9/23,1.7,1.76,1.78,1.66,233.38M,-1.73%
6/8/23,1.73,1.56,1.77,1.54,371.80M,10.19%
6/7/23,1.57,1.59,1.63,1.53,156.65M,1.29%
6/6/23,1.55,1.45,1.62,1.45,276.50M,6.16%
6/5/23,1.46,1.53,1.54,1.45,135.24M,-3.95%
6/2/23,1.52,1.42,1.54,1.42,495.90M,8.57%
6/1/23,1.4,1.43,1.45,1.4,164.29M,-2.78%
5/31/23,1.44,1.48,1.48,1.41,131.03M,-3.36%
5/30/23,1.49,1.48,1.51,1.41,168.94M,1.36%
5/29/23,1.47,1.49,1.54,1.46,88.10M,-1.34%
5/25/23,1.49,1.49,1.5,1.44,208.39M,-1.32%
5/24/23,1.51,1.53,1.54,1.49,118.88M,-1.95%
5/23/23,1.54,1.6,1.62,1.54,114.40M,-3.75%
5/22/23,1.6,1.57,1.63,1.55,108.76M,1.91%
5/19/23,1.57,1.6,1.61,1.53,248.42M,-3.09%
5/18/23,1.62,1.65,1.67,1.6,161.72M,0.00%
5/17/23,1.62,1.7,1.71,1.61,288.30M,-5.26%
5/16/23,1.71,1.82,1.83,1.69,227.88M,-5.00%
5/15/23,1.8,1.87,1.87,1.74,228.95M,-4.26%
5/12/23,1.88,1.94,1.95,1.88,146.82M,-3.09%
5/11/23,1.94,1.97,1.99,1.92,107.78M,-1.52%
5/10/23,1.97,2,2.02,1.95,89.53M,-1.01%
5/9/23,1.99,2.05,2.15,1.99,163.13M,-2.93%
5/8/23,2.05,2.12,2.13,2.03,96.93M,-2.38%
5/5/23,2.1,1.99,2.14,1.99,179.22M,5.53%
5/4/23,1.99,1.92,2,1.92,152.45M,3.65%
5/3/23,1.92,1.96,1.97,1.9,83.89M,-3.03%
5/2/23,1.98,2.03,2.08,1.96,78.81M,-1.49%
4/28/23,2.01,2.06,2.09,2.01,135.49M,-0.50%
4/27/23,2.02,2.04,2.07,2.01,103.83M,-1.94%
4/26/23,2.06,2.01,2.1,1.96,97.23M,1.98%
4/25/23,2.02,2.05,2.07,2,129.69M,-1.94%
4/24/23,2.06,2.11,2.12,2.03,172.93M,-2.37%
4/21/23,2.11,2.17,2.23,2.09,115.82M,-1.40%
4/20/23,2.14,2.22,2.23,2.11,144.23M,-3.60%
4/19/23,2.22,2.34,2.35,2.18,135.11M,-4.72%
4/18/23,2.33,2.35,2.41,2.31,102.94M,-1.69%
4/17/23,2.37,2.33,2.38,2.28,89.32M,1.28%
4/14/23,2.34,2.36,2.4,2.31,68.47M,-0.85%
4/13/23,2.36,2.34,2.36,2.27,167.34M,-2.07%
4/12/23,2.41,2.38,2.43,2.31,274.47M,2.99%
4/11/23,2.34,2.11,2.36,2.11,458.14M,14.15%
4/6/23,2.05,2.1,2.1,2.01,176.66M,-2.38%
4/4/23,2.1,2.17,2.18,2.08,112.91M,-3.23%
4/3/23,2.17,2.2,2.31,2.15,187.86M,-1.81%
3/31/23,2.21,2.3,2.31,2.16,168.18M,-3.07%
3/30/23,2.28,2.17,2.33,2.14,220.72M,5.07%
3/29/23,2.17,2.21,2.23,2.11,149.89M,0.00%
3/28/23,2.17,2.15,2.19,2.13,79.26M,0.93%
3/27/23,2.15,2.24,2.26,2.13,124.78M,-4.02%
3/24/23,2.24,2.3,2.3,2.23,108.92M,-3.45%
3/23/23,2.32,2.25,2.32,2.23,126.21M,2.20%
3/22/23,2.27,2.23,2.36,2.23,215.00M,2.71%
3/21/23,2.21,2.2,2.3,2.19,143.62M,1.38%
3/20/23,2.18,2.24,2.25,2.13,175.52M,-2.68%
3/17/23,2.24,2.12,2.28,2.1,499.78M,7.69%
3/16/23,2.08,2.03,2.12,2.03,98.36M,0.48%
3/15/23,2.07,2.04,2.15,2.04,175.96M,2.99%
3/14/23,2.01,2.07,2.12,1.98,316.15M,-4.29%
3/13/23,2.1,2.15,2.19,2.07,247.76M,-4.11%
3/10/23,2.19,2.15,2.25,2.13,187.32M,-1.35%
3/9/23,2.22,2.31,2.32,2.21,185.56M,-3.90%
3/8/23,2.31,2.42,2.42,2.3,219.36M,-5.33%
3/7/23,2.44,2.53,2.56,2.41,169.59M,-3.94%
3/6/23,2.54,2.6,2.62,2.47,169.52M,-3.79%
3/3/23,2.64,2.6,2.68,2.59,106.33M,2.33%
3/2/23,2.58,2.55,2.59,2.53,78.67M,-0.77%
3/1/23,2.6,2.39,2.6,2.39,249.97M,8.33%
2/28/23,2.4,2.55,2.57,2.37,216.99M,-4.76%
2/27/23,2.52,2.53,2.58,2.51,95.94M,-1.18%
2/24/23,2.55,2.61,2.62,2.54,98.09M,-2.30%
2/23/23,2.61,2.63,2.68,2.6,78.46M,-0.76%
2/22/23,2.63,2.67,2.68,2.61,65.77M,-1.87%
