"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-6-30","3.66","3.63","3.72","3.61","14.52M","1.39%"
"2023-6-29","3.61","3.70","3.70","3.60","13.60M","-1.90%"
"2023-6-28","3.68","3.68","3.70","3.62","11.44M","-0.27%"
"2023-6-27","3.69","3.59","3.70","3.56","16.37M","3.07%"
"2023-6-26","3.58","3.61","3.65","3.57","13.42M","-1.38%"
"2023-6-21","3.63","3.70","3.74","3.62","13.10M","-2.16%"
"2023-6-20","3.71","3.80","3.80","3.69","12.08M","-2.11%"
"2023-6-19","3.79","3.89","3.90","3.78","13.66M","-2.57%"
"2023-6-16","3.89","3.91","3.96","3.87","12.70M","-0.51%"
"2023-6-15","3.91","3.86","3.92","3.83","16.31M","1.30%"
"2023-6-14","3.86","3.91","3.92","3.84","11.75M","-0.52%"
"2023-6-13","3.88","3.87","3.93","3.86","11.96M","0.00%"
"2023-6-12","3.88","3.89","3.93","3.81","19.04M","0.00%"
"2023-6-9","3.88","3.88","3.92","3.85","17.08M","-0.26%"
"2023-6-8","3.89","3.83","3.91","3.80","22.80M","1.57%"
"2023-6-7","3.83","3.75","3.85","3.74","21.67M","2.41%"
"2023-6-6","3.74","3.75","3.87","3.73","17.94M","-0.27%"
"2023-6-5","3.75","3.77","3.78","3.72","15.45M","-1.32%"
"2023-6-2","3.80","3.68","3.84","3.64","34.46M","3.83%"
"2023-6-1","3.66","3.63","3.68","3.59","12.81M","0.55%"
"2023-5-31","3.64","3.63","3.69","3.62","12.90M","-0.27%"
"2023-5-30","3.65","3.60","3.66","3.55","17.82M","0.55%"
"2023-5-29","3.63","3.66","3.69","3.60","11.61M","-1.36%"
"2023-5-26","3.68","3.61","3.69","3.59","13.75M","1.94%"
"2023-5-25","3.61","3.61","3.66","3.56","18.13M","-0.28%"
"2023-5-24","3.62","3.72","3.73","3.62","16.33M","-3.47%"
"2023-5-23","3.75","3.81","3.83","3.74","15.06M","-1.57%"
"2023-5-22","3.81","3.89","3.89","3.78","13.50M","-1.55%"
"2023-5-19","3.87","3.95","3.95","3.85","17.49M","-1.78%"
"2023-5-18","3.94","4.00","4.01","3.91","14.59M","-1.01%"
"2023-5-17","3.98","3.97","4.03","3.93","13.77M","0.25%"
"2023-5-16","3.97","4.02","4.05","3.95","15.12M","-1.24%"
"2023-5-15","4.02","4.00","4.02","3.92","22.98M","1.26%"
"2023-5-12","3.97","4.02","4.12","3.97","25.58M","-0.75%"
"2023-5-11","4.00","3.95","4.04","3.95","23.18M","1.27%"
"2023-5-10","3.95","3.99","4.03","3.91","24.33M","-1.25%"
"2023-5-9","4.00","3.99","4.09","3.96","36.67M","0.00%"
"2023-5-8","4.00","3.96","4.00","3.88","29.03M","1.01%"
"2023-5-5","3.96","3.80","3.98","3.80","35.13M","3.39%"
"2023-5-4","3.83","3.72","3.84","3.70","30.21M","4.64%"
"2023-4-28","3.66","3.58","3.70","3.57","18.44M","2.52%"
