"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-6-30","1,960.73","1,941.51","1,987.39","1,939.95","1.06B","1.27%"
"2023-6-29","1,936.17","1,963.42","1,966.05","1,936.12","945.52M","-1.79%"
"2023-6-28","1,971.45","1,993.40","1,994.52","1,956.97","1.04B","-1.15%"
"2023-6-27","1,994.32","1,913.38","2,000.98","1,902.55","1.36B","4.47%"
"2023-6-26","1,909.07","1,938.25","1,938.25","1,905.92","1.56B","-1.84%"
"2023-6-21","1,944.86","1,953.32","1,980.89","1,941.94","1.09B","-0.79%"
"2023-6-20","1,960.36","1,991.17","1,992.19","1,956.74","676.76M","-1.79%"
"2023-6-19","1,996.17","2,041.20","2,041.25","1,993.82","893.14M","-2.17%"
"2023-6-16","2,040.53","2,048.98","2,067.51","2,037.63","1.14B","-0.20%"
"2023-6-15","2,044.70","2,015.96","2,050.83","2,015.96","921.42M","1.41%"
"2023-6-14","2,016.33","2,039.30","2,050.00","2,011.55","892.06M","-0.50%"
"2023-6-13","2,026.47","2,024.32","2,055.25","2,019.83","361.04M","0.42%"
"2023-6-12","2,017.94","2,000.10","2,031.95","1,983.53","427.77M","0.79%"
"2023-6-9","2,002.08","2,010.75","2,013.56","1,989.53","557.41M","-0.57%"
"2023-6-8","2,013.52","1,970.16","2,024.47","1,956.06","578.47M","1.86%"
"2023-6-7","1,976.84","1,960.33","2,007.11","1,960.33","563.41M","1.01%"
"2023-6-6","1,957.02","1,937.70","1,998.74","1,937.70","1.38B","0.84%"
"2023-6-5","1,940.81","1,946.89","1,948.44","1,926.96","1.25B","-1.09%"
"2023-6-2","1,962.10","1,891.78","1,969.89","1,891.78","1.20B","3.87%"
"2023-6-1","1,888.98","1,897.35","1,908.56","1,880.05","862.24M","-1.03%"
"2023-5-31","1,908.71","1,918.96","1,939.66","1,900.43","987.33M","-0.95%"
"2023-5-30","1,926.95","1,886.20","1,930.84","1,855.27","1.20B","1.64%"
"2023-5-29","1,895.77","1,907.69","1,920.82","1,893.63","1.15B","-1.09%"
"2023-5-26","1,916.72","1,891.10","1,922.06","1,875.18","1.32B","0.71%"
"2023-5-25","1,903.27","1,888.69","1,908.36","1,884.30","5.63K","-0.46%"
"2023-5-24","1,912.08","1,960.86","1,961.96","1,912.08","857.81M","-3.21%"
"2023-5-23","1,975.52","1,986.45","2,009.03","1,974.03","962.73M","-1.18%"
"2023-5-22","1,999.01","2,008.81","2,008.81","1,977.02","6.80K","-1.01%"
"2023-5-19","2,019.39","2,049.06","2,049.43","2,013.31","503.29M","-1.68%"
"2023-5-18","2,053.88","2,080.80","2,089.16","2,045.07","539.00M","-1.25%"
"2023-5-17","2,079.96","2,080.90","2,096.69","2,071.76","352.66M","-0.72%"
"2023-5-16","2,094.99","2,121.44","2,122.98","2,090.62","359.97M","-1.52%"
"2023-5-15","2,127.22","2,131.85","2,132.07","2,088.33","486.54M","-0.61%"
"2023-5-12","2,140.21","2,150.25","2,175.91","2,139.36","486.97M","-1.18%"
"2023-5-11","2,165.81","2,157.19","2,176.75","2,154.22","539.82M","0.23%"
"2023-5-10","2,160.81","2,182.44","2,193.87","2,139.68","512.58M","-1.34%"
"2023-5-9","2,190.25","2,185.39","2,239.35","2,182.89","779.51M","-0.30%"
"2023-5-8","2,196.86","2,183.74","2,200.95","2,139.36","680.58M","-0.35%"
"2023-5-5","2,204.48","2,138.97","2,210.62","2,138.35","966.53M","2.73%"
"2023-5-4","2,145.80","2,135.00","2,163.66","2,128.62","660.50M","0.26%"
"2023-4-28","2,140.30","2,115.74","2,144.17","2,115.74","809.39M","0.89%"
"2023-4-27","2,121.45","2,119.91","2,139.47","2,102.81","985.57M","0.19%"
"2023-4-26","2,117.45","2,101.55","2,128.06","2,084.84","774.54M","-0.34%"
"2023-4-25","2,124.74","2,145.74","2,153.41","2,098.42","893.30M","-1.18%"
"2023-4-24","2,150.11","2,186.87","2,186.87","2,142.49","888.72M","-2.08%"
"2023-4-21","2,195.79","2,235.04","2,259.67","2,191.50","916.01M","-1.46%"
"2023-4-20","2,228.27","2,246.46","2,246.66","2,207.10","866.85M","-1.04%"
"2023-4-19","2,251.80","2,303.35","2,303.35","2,247.50","936.44M","-2.25%"
"2023-4-18","2,303.57","2,322.74","2,340.81","2,300.88","745.68M","-0.85%"
"2023-4-17","2,323.34","2,315.09","2,324.67","2,301.69","640.51M","0.10%"
"2023-4-14","2,320.91","2,349.13","2,352.20","2,319.07","718.12M","-1.07%"
"2023-4-13","2,345.99","2,347.00","2,359.45","2,332.66","686.39M","-0.15%"
"2023-4-12","2,349.57","2,349.04","2,375.14","2,325.75","823.66M","0.20%"
"2023-4-11","2,344.79","2,314.42","2,350.36","2,294.61","880.16M","1.06%"
"2023-4-10","2,320.17","2,328.23","2,330.83","2,313.49","786.28M","-0.75%"
"2023-4-7","2,337.71","2,249.08","2,343.44","2,249.08","1.18B","4.38%"
"2023-4-6","2,239.57","2,255.91","2,271.89","2,237.13","584.57M","-0.99%"
"2023-4-4","2,261.91","2,283.37","2,293.04","2,257.86","568.84M","-0.97%"
